Cities,Latitude,Temperature(F),Humidity,Cloudiness,Wind Speed(mph)
saskylakh,71.97,7.23,87%,0%,17.05
barrow,-38.31,60.69,71%,0%,8.88
amapa,15.09,88.32,62%,20%,13.87
east london,-33.02,67.62,79%,60%,16.24
bluff,-23.58,66.58,73%,48%,8.23
busselton,-33.64,49.66,66%,74%,10.16
jalu,29.03,69.28,57%,0%,8.84
innisfail,-17.52,66.99,95%,96%,3.0
jamestown,-33.21,49.24,86%,9%,12.88
saint-philippe,45.36,52.05,76%,75%,10.29
coihaique,-45.58,53.6,58%,90%,6.93
carutapera,-1.2,82.22,80%,100%,16.89
juneau,58.3,46.69,81%,90%,9.17
vila velha,-3.71,80.31,74%,90%,9.17
mataura,-46.19,48.99,74%,96%,11.01
juruti,-2.16,92.44,47%,0%,4.7
itaueira,-7.6,84.81,51%,69%,2.66
mlalo,-4.58,72.68,85%,97%,3.62
ancud,-41.87,48.2,100%,90%,8.05
pevek,69.7,15.3,89%,100%,17.31
chuy,-33.69,63.68,77%,1%,6.6
kodiak,39.95,44.17,70%,90%,12.75
albany,42.65,60.69,50%,1%,9.69
tutoia,-2.76,79.29,76%,62%,7.31
faanui,-16.48,79.18,61%,1%,7.96
tuktoyaktuk,69.44,19.4,79%,90%,11.41
sao filipe,14.9,74.3,81%,84%,11.9
severnoye,54.09,42.58,81%,74%,1.7
cape town,-33.93,63.77,63%,40%,21.92
puerto ayora,-0.74,74.71,57%,20%,20.8
rikitea,-23.12,71.4,82%,60%,24.45
grindavik,63.84,34.88,74%,75%,27.51
kirakira,-10.46,79.38,79%,98%,10.85
urdoma,61.74,38.35,90%,100%,6.24
lebu,8.96,59.0,41%,20%,11.41
tuatapere,-46.13,48.99,74%,100%,11.01
vao,59.1,44.98,94%,51%,8.03
margate,-43.03,74.57,23%,100%,19.46
longyearbyen,78.22,12.2,66%,20%,4.7
castro,-42.48,48.2,100%,90%,8.05
oak harbor,41.51,54.64,43%,1%,3.36
bambous virieux,-20.34,74.59,88%,75%,9.17
nanortalik,60.14,36.36,81%,100%,14.14
kavaratti,10.57,81.91,80%,100%,27.69
palmer,-34.85,59.5,62%,75%,19.46
graham,33.11,49.48,93%,90%,16.11
arraial do cabo,-22.97,73.4,83%,40%,20.8
lavrentiya,65.58,27.86,74%,93%,12.66
yellowknife,62.45,35.6,86%,75%,5.82
nizhniy kuranakh,58.84,15.12,93%,76%,2.89
sitka,37.17,39.99,50%,100%,1.01
grand gaube,-20.01,74.71,88%,75%,9.17
torbay,47.66,47.34,93%,90%,23.04
falun,60.61,49.26,93%,100%,6.93
zhoucheng,31.35,53.6,100%,100%,2.24
port alfred,-33.59,63.0,88%,100%,1.99
pacific grove,36.62,90.07,12%,1%,11.41
vaini,15.34,67.93,98%,87%,6.08
leh,34.16,25.41,42%,58%,4.29
provideniya,64.42,28.4,74%,40%,4.47
ushuaia,-54.81,48.97,66%,40%,10.29
butaritari,3.07,83.66,72%,35%,8.52
hervey bay,-25.3,72.16,72%,39%,6.93
quatre cocos,-20.21,74.64,88%,75%,9.17
hithadhoo,-0.6,76.91,90%,100%,14.25
punta arenas,-53.16,57.2,30%,0%,24.16
dingle,11.0,74.64,87%,0%,8.63
xiaoweizhai,26.23,56.59,95%,100%,1.66
upernavik,72.79,35.42,57%,100%,16.04
